                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61594,                0.46763,                 1.0345,                0.98059,                0.93407,                0.96796,                0.90557,                0.30714,                0.24595,                0.74456,              0.0099327,              0.0099327,              0.0099327
                     37,                0.62259,                0.47894,                 1.0383,                0.97749,                0.95433,                0.96428,                0.90146,                0.33283,                0.26967,                0.76223,              0.0099307,              0.0099307,              0.0099307
                     38,                0.65093,                0.49897,                 1.0646,                 0.9982,                0.93407,                0.96338,                0.89394,                0.29046,                0.26093,                0.74009,              0.0099287,              0.0099287,              0.0099287
                     39,                0.61844,                0.48345,                 1.0429,                      1,                0.92159,                0.95536,                0.89659,                0.30875,                0.26338,                0.75344,              0.0099267,              0.0099267,              0.0099267
                     40,                0.60745,                0.45348,                 1.0417,                0.99883,                0.92308,                0.95434,                0.90346,                0.30023,                 0.2812,                 0.7418,              0.0099248,              0.0099248,              0.0099248
                     41,                0.60418,                0.45218,                 1.0272,                0.99849,                0.92308,                0.96581,                0.90637,                0.35174,                0.24644,                0.75444,              0.0099228,              0.0099228,              0.0099228
                     42,                0.59048,                 0.4553,                 1.0147,                0.99855,                0.92308,                0.95714,                0.91095,                0.30462,                0.27862,                0.74844,              0.0099208,              0.0099208,              0.0099208
                     43,                0.60312,                0.45363,                 1.0274,                0.99734,                0.92308,                0.96089,                0.90674,                0.29048,                0.24686,                0.72705,              0.0099188,              0.0099188,              0.0099188
                     44,                  0.609,                0.45658,                 1.0363,                0.97721,                0.94259,                0.97034,                0.90529,                0.30592,                0.25154,                0.74463,              0.0099168,              0.0099168,              0.0099168
                     45,                0.61824,                0.44428,                 1.0462,                0.96584,                0.93216,                0.97953,                0.91411,                0.28635,                0.24818,                0.73791,              0.0099149,              0.0099149,              0.0099149
                     46,                 0.6011,                0.44141,                 1.0344,                 0.9885,                0.94482,                 0.9663,                0.93719,                0.26066,                 0.2021,                0.73138,              0.0099129,              0.0099129,              0.0099129
                     47,                0.59676,                0.45087,                 1.0313,                 0.9527,                0.92308,                0.95605,                0.90378,                0.29935,                0.26767,                0.73866,              0.0099109,              0.0099109,              0.0099109
                     48,                0.61991,                0.45336,                 1.0409,                0.97722,                0.94288,                0.96167,                 0.9138,                0.28652,                0.29318,                0.73456,              0.0099089,              0.0099089,              0.0099089
                     49,                0.61217,                0.44146,                 1.0416,                0.96643,                 0.9492,                0.96484,                0.91737,                0.27912,                0.24076,                  0.735,              0.0099069,              0.0099069,              0.0099069
                     50,                0.60074,                0.44597,                  1.029,                      1,                0.93034,                0.96614,                0.90927,                0.30083,                0.27987,                0.73639,               0.009905,               0.009905,               0.009905
                     51,                0.58174,                 0.4372,                 1.0123,                      1,                0.93306,                0.95794,                0.91745,                0.28569,                 0.2376,                  0.743,               0.009903,               0.009903,               0.009903
                     52,                  0.602,                0.42444,                 1.0208,                0.99767,                0.93407,                0.96501,                0.92131,                0.30464,                0.25271,                0.73164,               0.009901,               0.009901,               0.009901
                     53,                0.59504,                0.43705,                 1.0241,                0.98848,                0.94298,                0.96807,                0.92529,                0.27032,                0.21906,                0.72353,               0.009899,               0.009899,               0.009899
                     54,                 0.5735,                0.43188,                 1.0206,                0.97725,                0.94397,                0.96933,                0.90603,                0.29848,                0.22738,                0.73719,               0.009897,               0.009897,               0.009897
                     55,                0.57916,                0.44236,                  1.015,                      1,                0.94431,                 0.9686,                0.92903,                 0.2678,                0.22616,                0.73142,              0.0098951,              0.0098951,              0.0098951
                     56,                0.60011,                0.42593,                 1.0327,                0.99861,                0.93407,                0.97746,                0.91235,                0.31464,                0.22065,                0.73723,              0.0098931,              0.0098931,              0.0098931
                     57,                0.57399,                0.43089,                 1.0114,                0.99884,                0.92308,                 0.9578,                0.90619,                0.27284,                 0.2587,                0.72513,              0.0098911,              0.0098911,              0.0098911
                     58,                0.59011,                0.44139,                 1.0264,                0.99875,                0.93407,                0.96339,                0.91774,                0.28904,                0.23976,                0.73627,              0.0098891,              0.0098891,              0.0098891
                     59,                0.59159,                0.42105,                 1.0236,                      1,                 0.9449,                0.98132,                0.92375,                 0.2908,                0.21095,                 0.7392,              0.0098871,              0.0098871,              0.0098871
                     60,                0.57499,                0.41273,                 1.0157,                0.99871,                0.93407,                0.97271,                0.91327,                0.27041,                0.19554,                0.72475,              0.0098852,              0.0098852,              0.0098852
                     61,                0.59018,                0.42734,                 1.0217,                      1,                0.94421,                0.96763,                0.92378,                0.27236,                0.22104,                0.72711,              0.0098832,              0.0098832,              0.0098832
                     62,                0.56485,                0.40986,                 1.0149,                0.98696,                0.93407,                0.96422,                0.91716,                0.27567,                0.22483,                0.73139,              0.0098812,              0.0098812,              0.0098812
                     63,                0.56249,                0.42166,                 1.0149,                0.97725,                0.94411,                0.97594,                0.92037,                0.29038,                0.24059,                0.72832,              0.0098792,              0.0098792,              0.0098792
                     64,                0.58618,                0.41936,                 1.0254,                0.98076,                0.92308,                 0.9616,                0.91424,                0.26857,                0.22374,                0.71999,              0.0098772,              0.0098772,              0.0098772
                     65,                0.57334,                0.40517,                 1.0156,                0.98584,                0.93407,                0.96406,                 0.9187,                0.26292,                0.21143,                0.72048,              0.0098753,              0.0098753,              0.0098753
                     66,                0.57015,                0.42212,                 1.0163,                0.98836,                0.93322,                0.96929,                 0.9194,                0.28401,                0.23153,                0.72634,              0.0098733,              0.0098733,              0.0098733
                     67,                0.56588,                0.41675,                 1.0102,                 0.9885,                0.94421,                0.97122,                0.92899,                0.26043,                0.19916,                0.71015,              0.0098713,              0.0098713,              0.0098713
                     68,                0.56645,                0.41918,                 1.0056,                0.97748,                0.95392,                0.97158,                0.91713,                0.28088,                0.28431,                0.73436,              0.0098693,              0.0098693,              0.0098693
                     69,                0.57364,                0.41282,                 1.0187,                0.97725,                0.94418,                0.97395,                0.93341,                0.24572,                0.19605,                0.71414,              0.0098673,              0.0098673,              0.0098673
                     70,                0.57384,                0.42581,                 1.0114,                0.98856,                0.96703,                0.97197,                0.93274,                0.27416,                0.19555,                0.71813,              0.0098654,              0.0098654,              0.0098654
                     71,                 0.5829,                0.40476,                 1.0196,                0.99915,                0.93407,                0.96692,                0.93133,                0.24492,                0.19283,                 0.7133,              0.0098634,              0.0098634,              0.0098634
                     72,                0.57995,                0.41585,                 1.0227,                      1,                0.94371,                0.95778,                0.90933,                0.26404,                0.24192,                0.72939,              0.0098614,              0.0098614,              0.0098614
                     73,                0.55053,                0.41303,                 1.0021,                0.96614,                0.94082,                0.96735,                0.93169,                0.25946,                0.21722,                0.71873,              0.0098594,              0.0098594,              0.0098594
