                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63239,                0.43377,                 0.9111,                0.96541,                0.92703,                0.95666,                0.89253,                0.37975,                0.31459,                0.83595,              0.0099327,              0.0099327,              0.0099327
                     37,                0.63173,                0.42893,                0.90926,                 0.9596,                 0.9298,                0.94944,                0.88622,                0.37849,                0.31151,                0.83461,              0.0099307,              0.0099307,              0.0099307
                     38,                0.62468,                0.42245,                0.90654,                0.96863,                0.92663,                0.95707,                0.89478,                0.37402,                0.30812,                0.83292,              0.0099287,              0.0099287,              0.0099287
                     39,                0.61858,                0.41999,                0.90445,                0.96228,                0.92699,                0.95621,                0.89037,                0.37471,                0.31618,                0.83154,              0.0099267,              0.0099267,              0.0099267
                     40,                0.62403,                0.41952,                0.90557,                0.95929,                0.92317,                0.95907,                0.89547,                0.36721,                0.31323,                 0.8279,              0.0099248,              0.0099248,              0.0099248
                     41,                0.61726,                0.41668,                0.90621,                0.96991,                0.92098,                0.95783,                0.89441,                0.37261,                0.31061,                  0.831,              0.0099228,              0.0099228,              0.0099228
                     42,                0.62035,                0.41801,                0.90524,                0.95846,                0.93119,                0.95714,                0.89653,                0.36482,                0.30432,                0.82899,              0.0099208,              0.0099208,              0.0099208
                     43,                0.61583,                 0.4152,                0.90232,                0.95817,                0.93425,                0.95901,                0.89634,                0.36914,                0.30737,                0.83011,              0.0099188,              0.0099188,              0.0099188
                     44,                0.60873,                0.41103,                0.89905,                0.95898,                 0.9316,                0.96013,                 0.8977,                0.36279,                0.30325,                0.82775,              0.0099168,              0.0099168,              0.0099168
                     45,                0.60771,                0.41063,                0.90048,                0.95831,                0.92582,                0.95645,                0.89176,                0.37369,                0.30805,                0.83408,              0.0099149,              0.0099149,              0.0099149
                     46,                0.60927,                0.40788,                 0.9014,                0.96447,                0.92469,                0.95965,                0.90096,                0.35317,                0.29764,                0.82659,              0.0099129,              0.0099129,              0.0099129
                     47,                0.60576,                0.40563,                0.90077,                 0.9616,                0.92488,                0.96029,                0.90026,                0.36252,                0.30327,                0.83127,              0.0099109,              0.0099109,              0.0099109
                     48,                0.60092,                0.40584,                 0.8986,                0.96353,                0.92038,                   0.96,                0.90069,                0.36701,                0.30118,                0.83267,              0.0099089,              0.0099089,              0.0099089
                     49,                0.60519,                0.40187,                0.89903,                0.96358,                0.92768,                0.96176,                0.90165,                0.36811,                0.29887,                0.83094,              0.0099069,              0.0099069,              0.0099069
                     50,                0.59937,                0.40323,                0.90014,                0.96025,                0.93229,                0.95895,                0.89933,                0.36078,                0.29736,                0.83034,               0.009905,               0.009905,               0.009905
                     51,                0.60048,                0.40155,                0.89992,                0.96333,                0.92717,                0.96153,                0.90337,                0.36282,                0.29305,                0.83051,               0.009903,               0.009903,               0.009903
                     52,                 0.5951,                0.39783,                0.89749,                0.96246,                0.93121,                0.96091,                0.90401,                0.36114,                0.28991,                0.82775,               0.009901,               0.009901,               0.009901
                     53,                0.59211,                0.39579,                0.89527,                0.96714,                0.92651,                0.95944,                0.90067,                 0.3624,                0.29129,                0.82886,               0.009899,               0.009899,               0.009899
                     54,                0.59666,                 0.3962,                0.89577,                0.96633,                0.93377,                0.96327,                0.90662,                0.35857,                0.29364,                0.82974,               0.009897,               0.009897,               0.009897
                     55,                0.58997,                0.39083,                0.89289,                0.96324,                0.92445,                0.95552,                0.89909,                0.35727,                0.29048,                0.82777,              0.0098951,              0.0098951,              0.0098951
                     56,                0.58654,                0.39025,                0.89352,                0.96206,                0.92998,                0.96034,                0.90458,                0.35727,                 0.2867,                0.82772,              0.0098931,              0.0098931,              0.0098931
                     57,                0.58265,                0.39041,                0.89284,                0.95731,                0.93147,                0.96046,                0.90405,                0.35287,                0.29365,                0.82784,              0.0098911,              0.0098911,              0.0098911
                     58,                 0.5868,                 0.3908,                0.89313,                0.96336,                0.93315,                0.95525,                0.89836,                0.35403,                0.28501,                0.82495,              0.0098891,              0.0098891,              0.0098891
                     59,                0.57532,                0.38623,                0.89037,                0.96183,                0.93269,                 0.9608,                0.90271,                0.35228,                0.28598,                0.82429,              0.0098871,              0.0098871,              0.0098871
                     60,                0.58507,                0.38636,                0.89194,                0.96795,                0.92566,                0.95446,                 0.8993,                0.34269,                0.28163,                0.82019,              0.0098852,              0.0098852,              0.0098852
                     61,                0.57925,                0.38419,                0.88932,                0.96744,                0.92687,                0.95627,                0.90078,                0.34547,                0.28166,                0.82148,              0.0098832,              0.0098832,              0.0098832
                     62,                 0.5797,                0.38421,                0.89097,                0.95798,                0.93168,                0.96146,                0.90794,                0.34282,                0.28456,                0.82118,              0.0098812,              0.0098812,              0.0098812
                     63,                0.57768,                0.38177,                0.88919,                0.96883,                0.93124,                0.96123,                0.90558,                0.34605,                0.28347,                0.82132,              0.0098792,              0.0098792,              0.0098792
                     64,                 0.5758,                0.38131,                0.88957,                0.96181,                0.93325,                0.96131,                0.90585,                0.34374,                0.28213,                0.82112,              0.0098772,              0.0098772,              0.0098772
                     65,                 0.5796,                0.37987,                0.89102,                0.97145,                0.92762,                0.96335,                0.90846,                0.34006,                0.28032,                0.81816,              0.0098753,              0.0098753,              0.0098753
                     66,                0.57011,                0.37865,                0.88775,                0.96517,                0.93394,                0.96043,                0.90749,                0.33928,                0.28052,                0.81844,              0.0098733,              0.0098733,              0.0098733
                     67,                0.57545,                0.37841,                0.88824,                0.96131,                0.93796,                 0.9567,                0.90268,                0.33834,                0.27905,                0.81948,              0.0098713,              0.0098713,              0.0098713
                     68,                0.57381,                0.37934,                0.88821,                0.96679,                0.92973,                0.96136,                0.90831,                0.34223,                0.27886,                0.81852,              0.0098693,              0.0098693,              0.0098693
                     69,                0.57019,                0.37373,                0.88924,                0.96315,                0.93431,                0.96066,                0.90791,                0.34491,                0.27606,                0.82203,              0.0098673,              0.0098673,              0.0098673
                     70,                0.56479,                0.37566,                0.88742,                  0.964,                0.93598,                0.96141,                0.91028,                0.33848,                0.27455,                0.82029,              0.0098654,              0.0098654,              0.0098654
                     71,                0.56816,                 0.3766,                0.88762,                0.96354,                0.93546,                0.95589,                0.90321,                0.33733,                0.27616,                0.81644,              0.0098634,              0.0098634,              0.0098634
                     72,                0.56976,                0.37214,                0.88661,                0.96536,                0.93147,                0.96058,                0.90875,                0.33559,                0.27196,                0.81938,              0.0098614,              0.0098614,              0.0098614
                     73,                0.56955,                0.37393,                0.88815,                0.96148,                0.93249,                0.95474,                0.90318,                0.34158,                 0.2733,                0.82191,              0.0098594,              0.0098594,              0.0098594
                     74,                 0.5655,                 0.3733,                0.88685,                0.96656,                0.93088,                0.96094,                0.90832,                0.34256,                0.27277,                0.82223,              0.0098574,              0.0098574,              0.0098574
                     75,                0.56489,                0.37151,                0.88511,                0.96306,                0.93741,                0.96251,                0.91291,                0.33822,                 0.2683,                 0.8195,              0.0098555,              0.0098555,              0.0098555
                     76,                0.56353,                0.37135,                0.88568,                0.96585,                0.93715,                0.96457,                0.91479,                0.33621,                0.26778,                0.81787,              0.0098535,              0.0098535,              0.0098535
                     77,                0.56635,                0.37293,                0.88758,                0.96871,                0.93179,                0.96143,                0.90993,                 0.3322,                0.26779,                 0.8167,              0.0098515,              0.0098515,              0.0098515
                     78,                0.56374,                0.36992,                0.88526,                0.96285,                0.93462,                0.96451,                0.91131,                0.34054,                 0.2717,                0.82148,              0.0098495,              0.0098495,              0.0098495
                     79,                0.56181,                0.36847,                  0.884,                0.96464,                0.93064,                 0.9637,                 0.9122,                0.33745,                0.26825,                0.81962,              0.0098475,              0.0098475,              0.0098475
                     80,                0.56179,                0.36966,                0.88467,                0.96325,                0.93352,                0.96183,                0.90953,                0.34042,                0.27166,                0.81963,              0.0098456,              0.0098456,              0.0098456
                     81,                0.55615,                0.36406,                0.88128,                0.96407,                0.93423,                0.96448,                0.91298,                0.33993,                0.26946,                0.82241,              0.0098436,              0.0098436,              0.0098436
                     82,                0.56294,                 0.3676,                0.88468,                0.96532,                0.93372,                0.95921,                0.90811,                0.33841,                0.26845,                0.82002,              0.0098416,              0.0098416,              0.0098416
                     83,                0.55587,                 0.3667,                0.88322,                0.95916,                 0.9379,                0.96462,                0.91184,                  0.334,                0.26824,                0.81753,              0.0098396,              0.0098396,              0.0098396
                     84,                0.55605,                0.36434,                0.88165,                0.95968,                0.93537,                0.95802,                0.90702,                0.33172,                0.26635,                0.81781,              0.0098376,              0.0098376,              0.0098376
                     85,                0.55495,                0.36575,                0.88335,                0.96205,                0.93294,                0.95992,                0.91084,                0.32456,                0.26331,                0.81492,              0.0098357,              0.0098357,              0.0098357
                     86,                0.55342,                0.36223,                0.88023,                0.96144,                 0.9326,                0.96248,                0.91187,                0.32907,                 0.2657,                0.81645,              0.0098337,              0.0098337,              0.0098337
                     87,                0.55644,                0.36316,                 0.8816,                0.96201,                0.93669,                0.96189,                0.91125,                0.32978,                0.26587,                0.81643,              0.0098317,              0.0098317,              0.0098317
                     88,                0.55567,                0.36168,                 0.8843,                 0.9597,                0.93676,                0.96529,                0.91613,                0.33016,                0.26276,                0.81783,              0.0098297,              0.0098297,              0.0098297
                     89,                 0.5552,                0.36043,                0.88162,                0.96341,                 0.9364,                0.96397,                0.91485,                0.32792,                0.25868,                0.81599,              0.0098277,              0.0098277,              0.0098277
